,code,market,name,w_highest,w_lowest,d_widest,d_indicate,average,index1,index2,index3,index4
67,1429-T,東証マザーズ,日本アクア,525.0,454.0,13.0,1050.0,502.8,0.025855210819411296,0.012380952380952381,0.14120922832140015,0.07252298263534218
68,1430-T,東証マザーズ,ファーストコーポレーション,5460.0,4360.0,145.0,10920.0,4831.0,0.030014489753674187,0.013278388278388278,0.22769612916580417,0.1120162932790224
69,1456-T,東証,ダイワ上場投信-日経平均インバース・インデックス,10390.0,9730.0,360.0,20420.0,9888.0,0.03640776699029126,0.01762977473065622,0.06674757281553398,0.032803180914512925
70,1457-T,東証,ダイワ上場投信-TOPIXインバース（-1倍）指数,10480.0,9790.0,290.0,20670.0,9990.0,0.02902902902902903,0.014029995162070633,0.06906906906906907,0.034040453872718306
71,1491-T,東証2部,中外鉱業,34.0,28.0,2.0,66.0,30.4,0.06578947368421052,0.030303030303030304,0.19736842105263158,0.0967741935483871
72,1514-T,東証1部,住石ホールディングス,141.0,116.0,18.0,264.0,120.2,0.1497504159733777,0.06818181818181818,0.20798668885191346,0.09727626459143969
73,1515-T,東証1部,日鉄鉱業,589.0,509.0,34.0,1170.0,558.8,0.060844667143879747,0.02905982905982906,0.14316392269148176,0.07285974499089254
74,1518-T,東証1部,三井松島産業,137.0,129.0,5.0,272.0,133.2,0.03753753753753754,0.01838235294117647,0.060060060060060066,0.03007518796992481
75,1540-T,東証,純金上場信託（現物国内保管型）,4540.0,4405.0,40.0,9070.0,4495.0,0.008898776418242492,0.004410143329658214,0.030033370411568408,0.01509223029625489
76,1541-T,東証,純プラチナ上場信託（現物国内保管型）,4180.0,3875.0,75.0,8350.0,4054.0,0.0185002466699556,0.008982035928143712,0.07523433645781943,0.03786468032278088
77,1542-T,東証,純銀上場信託（現物国内保管型）,6060.0,5700.0,270.0,12100.0,5932.0,0.04551584625758597,0.02231404958677686,0.060687795010114634,0.030612244897959183
78,1543-T,東証,純パラジウム上場信託（現物国内保管型）,27080.0,24360.0,1290.0,53800.0,25812.0,0.0499767549976755,0.023977695167286244,0.10537734387106772,0.05287713841368585
79,1545-T,東証,NEXT FUNDS NASDAQ-100連動型上場投信,5590.0,5310.0,80.0,11180.0,5500.0,0.014545454545454545,0.007155635062611807,0.05090909090909091,0.025688073394495414
80,1546-T,東証,NEXT FUNDS ダウ・ジョーンズ工業株30種平均株価連動型上場投信,21670.0,20830.0,270.0,43330.0,21364.0,0.012638082756038196,0.006231248557581353,0.039318479685452164,0.01976470588235294
81,1547-T,東証,上場インデックスファンド米国株式（S&P500）,2805.0,2675.0,29.0,5610.0,2758.2,0.010514103400768618,0.00516934046345811,0.047132187658617944,0.023722627737226276
82,1548-T,東証,上場インデックスファンド中国H株（ハンセン中国企業株）,1607.0,1317.0,93.0,3147.0,1472.6,0.06315360586717371,0.029551954242135366,0.1969305989406492,0.09917920656634747
83,1549-T,東証,上場インデックスファンドCNX Nifty先物（インド株式）,1520.0,1421.0,20.0,3020.0,1481.0,0.01350438892640108,0.006622516556291391,0.06684672518568535,0.033662019721183274
84,1550-T,東証,MAXIS 海外株式（MSCIコクサイ）上場投信,2161.0,2040.0,26.0,4322.0,2110.8,0.012317604699639946,0.006015733456732994,0.05732423725601667,0.028802666031897167
85,1551-T,東証,JASDAQ-TOP20上場投信,4600.0,4125.0,100.0,9150.0,4439.0,0.022527596305474205,0.01092896174863388,0.10700608245100247,0.054441260744985676
86,1552-T,東証,国際のETF VIX短期先物指数,668.0,593.0,22.0,1330.0,624.6,0.03522254242715338,0.016541353383458645,0.12007684918347743,0.05947660586835844
87,1554-T,東証,上場インデックスファンド世界株式（MSCI ACWI）除く日本,1927.0,1796.0,23.0,3854.0,1894.2,0.012142329215499946,0.005967825635703166,0.06915848379263013,0.0351866774106903
88,1555-T,東証,上場インデックスファンド豪州リート（S&P/ASX200 A-REIT）,1680.0,1500.0,40.0,3329.0,1607.6,0.024881811395869622,0.012015620306398318,0.1119681512814133,0.05660377358490566
89,1557-T,東証,SPDR S&P500 ETF,25690.0,24660.0,430.0,51250.0,25300.0,0.01699604743083004,0.008390243902439025,0.040711462450592886,0.020456802383316784
90,1559-T,東証,NEXT FUNDS タイ株式SET50指数連動型上場投信,3390.0,3230.0,70.0,6770.0,3341.0,0.020951810835079316,0.0103397341211226,0.04788985333732416,0.02416918429003021
91,1560-T,東証,NEXT FUNDS FTSEブルサ・マレーシアKLCI連動型上場投信,5740.0,5500.0,70.0,11470.0,5652.0,0.012384996461429583,0.006102877070619006,0.04246284501061571,0.021352313167259787
92,1561-T,東証,国際のETF VIX中期先物指数,34550.0,32550.0,900.0,69050.0,33610.0,0.02677774471883368,0.013034033309196235,0.05950609937518596,0.029806259314456036
